Date : 2022-11-07 06:08:44
Directory : c:\Users\Administrador\Desktop\WowGoldLog
Total : 852 files,  315158 codes, 5727 comments, 13627 blanks, all 334512 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\167.3c3f2ff1.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\168.8d2e8e83.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\169.b10c84bd.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\17.8dfcb176.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\170.b9db8312.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\171.2480fc36.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\172.81c5206a.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\173.477dcbae.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\174.05398ca3.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\175.84ab69d0.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\176.f48183c3.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\177.d0d35403.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\178.55d433fd.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\179.9442c138.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\18.c331029e.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\180.5c15d5d4.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\181.911f367b.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\182.72f663e8.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\183.22b2258c.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\184.15b21065.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\185.894ea40b.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\186.f6394459.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\187.7bd9b3fe.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\188.3baa9bcd.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\189.18e63b11.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\19.13bdd658.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\190.b7ffb54a.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\191.13061aba.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\192.1bf9bd61.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\193.8fa44455.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\194.49c9a3c0.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\195.eb1e8802.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\196.9b925823.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\197.adca6c8c.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\198.2ae0961a.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\199.cd9dca80.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\2.3e2307f3.js                                         | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\20.5d11c294.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\200.2eb9437f.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\201.6dba10c3.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\202.9c5057c6.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\203.98a3c2b8.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\204.50d5cf2e.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\205.e56e820b.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\206.6ce5c41e.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\207.8aa83d91.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\208.296ee160.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\209.13279349.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\21.7b54d7d8.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\210.63e30420.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\211.0b325f23.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\212.be671e2e.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\213.81d2e607.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\214.ba403b5c.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\215.2efcec5f.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\216.e01d3100.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\217.906c8d54.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\218.94e33827.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\219.21c5e01f.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\22.c2daedd0.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\220.3ba160e4.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\221.5c17138c.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\222.aea004ce.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\223.cbb7b883.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\224.b130b37f.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\225.32f90319.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\226.8c102c21.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\227.b3d60339.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\228.72f0ad18.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\229.3daa3b7e.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\23.2c668e20.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\230.7e5a85b1.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\231.b83d12f1.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\232.e902f42d.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\233.b4f254c0.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\234.d975df48.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\235.71a7be7d.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\236.05d87a5e.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\237.d518e28b.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\238.eb60e397.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\239.81fecfed.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\24.af200d5b.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\240.c0869bc2.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\241.59dc896f.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\242.6d423d39.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\243.a355eaa8.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\244.ad729cf8.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\245.c3cd6bbe.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\246.d0708528.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\247.13d65d78.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\248.1d222543.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\249.2d7a9bf1.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\25.4f97f63f.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\250.09ef38e2.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\251.0cb90e8a.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\252.2ff0def4.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\253.61c7c505.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\254.20137eeb.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\255.49c937e9.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\256.8d709dae.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\257.b3ebdce7.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\258.792f66d1.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\259.98c809e9.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\26.d1bb645c.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\260.54ff10d2.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\261.928afea4.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\27.2d5c4a6b.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\28.72dee0f1.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\29.8820be26.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\3.947b8d98.js                                         | JavaScript         |          3 |         11 |          0 |         14 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\30.343676b8.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\31.cff089f1.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\32.56d8546e.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\33.6b642a06.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\34.360a9ea9.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\35.205d7fac.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\36.f2765bae.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\37.6c33435e.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\38.a778a6a2.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\39.7dda160f.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\4.ee88d25a.js                                         | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\40.bd778eac.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\41.b79220f6.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\42.c3157beb.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\43.097368d1.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\44.2515f16e.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\45.d5b4b7c3.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\46.bbab8d6e.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\47.79aa575e.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\48.45785af9.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\49.0569a6eb.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\5.00f814ac.js                                         | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\50.14bd3ba2.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\51.e0968711.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\52.fe65ddf8.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\53.faa1ff3f.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\54.fcfed2c5.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\55.7db1d28a.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\56.8b0e82b7.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\57.9de2d983.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\58.b0f8ad0c.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\59.f1ff4935.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\6.2bc86161.js                                         | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\60.ac08de9a.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\61.ea4fad75.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\62.5c85853b.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\63.5ac99656.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\64.c6838e95.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\65.4c1b089e.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\66.379a6b45.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\67.15703e17.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\68.ffdefd7d.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\69.bdeb7b9b.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\7.74f2ce90.js                                         | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\70.3dadb5ed.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\71.2c97fe38.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\72.dc778e17.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\73.d88fcb57.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\74.bba2165e.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\75.15562a81.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\76.21f5a94e.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\77.0725268e.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\78.d6f610d1.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\79.60d67faa.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
